order,id,state,latitude,longitude,PD.year,p.date
1,IA-10005-A-2014,IA,41.85065709,-93.35264555,2014,6/1/2014
2,IA-10005-B-2014,IA,41.85065709,-93.35264555,2014,6/1/2014
3,IA-10006-A-2014,IA,43.27232515,-92.87532552,2014,5/23/2014
4,IA-10006-B-2014,IA,43.27232515,-92.87532552,2014,5/23/2014
5,IA-10007-A-2014,IA,41.79552322,-93.37153112,2014,5/22/2014
6,IA-10007-B-2014,IA,41.79552322,-93.37153112,2014,5/22/2014
7,IA-10008-A-2014,IA,41.88743741,-93.32492224,2014,5/30/2014
8,IA-10008-B-2014,IA,41.88743741,-93.32492224,2014,5/30/2014
9,IA-10009-A-2014,IA,42.91912016,-94.14364834,2014,5/18/2014
10,IA-10009-B-2014,IA,42.91912016,-94.14364834,2014,5/18/2014
11,IA-10010-A-2014,IA,42.66826147,-93.82446074,2014,5/23/2014
12,IA-10010-B-2014,IA,42.66826147,-93.82446074,2014,5/23/2014
13,IA-10011-A-2014,IA,41.91169026,-93.36258174,2014,5/30/2014
14,IA-10011-B-2014,IA,41.91169026,-93.36258174,2014,5/30/2014
15,IA-10012-A-2014,IA,41.91536922,-93.36012694,2014,5/30/2014
16,IA-10012-B-2014,IA,41.91536922,-93.36012694,2014,5/30/2014
17,IA-10013-A-2014,IA,42.9143057,-93.84506189,2014,5/23/2014
18,IA-10013-B-2014,IA,42.9143057,-93.84506189,2014,5/23/2014
19,IA-10014-A-2014,IA,42.65255288,-92.41126673,2014,5/21/2014
20,IA-10014-B-2014,IA,42.65255288,-92.41126673,2014,5/21/2014
21,IA-10014-C-2014,IA,42.65255288,-92.41126673,2014,5/21/2014
22,IA-10015-A-2014,IA,42.11736638,-93.68316211,2014,5/15/2014
23,IA-10015-B-2014,IA,42.11736638,-93.68316211,2014,5/15/2014
24,IA-10016-A-2014,IA,43.2655019,-92.88963764,2014,5/24/2014
25,IA-10016-B-2014,IA,43.2655019,-92.88963764,2014,5/24/2014
26,IA-10016-C-2014,IA,43.2655019,-92.88963764,2014,5/24/2014
27,IA-10016-D-2014,IA,43.26592242,-92.89468307,2014,5/25/2014
28,IA-10016-E-2014,IA,43.26592242,-92.89468307,2014,5/25/2014
29,IA-10018-A-2014,IA,41.30895667,-92.18324565,2014,5/19/2014
30,IA-10018-B-2014,IA,41.30895667,-92.18324565,2014,5/19/2014
31,IA-10018-C-2014,IA,41.30895667,-92.18324565,2014,5/19/2014
32,IA-10019-A-2014,IA,41.36492883,-92.03877991,2014,5/18/2014
33,IA-10019-B-2014,IA,41.36492883,-92.03877991,2014,5/18/2014
34,IA-10019-C-2014,IA,41.36492883,-92.03877991,2014,5/18/2014
35,IA-10020-A-2014,IA,43.10430723,-94.66193697,2014,5/19/2014
36,IA-10020-B-2014,IA,43.10430723,-94.66193697,2014,5/19/2014
37,IA-10020-C-2014,IA,43.10430723,-94.66193697,2014,5/19/2014
38,IA-10021-A-2014,IA,43.10430723,-94.66193697,2014,5/22/2014
39,IA-10021-B-2014,IA,43.10430723,-94.66193697,2014,5/22/2014
40,IA-10022-A-2014,IA,41.80882899,-91.86830719,2014,5/23/2014
41,IA-10022-B-2014,IA,41.80882899,-91.86830719,2014,5/23/2014
42,IA-10022-C-2014,IA,41.80882899,-91.86830719,2014,5/23/2014
43,IA-10023-A-2014,IA,41.80882899,-91.86830719,2014,5/23/2014
44,IA-10023-B-2014,IA,41.80882899,-91.86830719,2014,5/23/2014
45,IA-10024-A-2014,IA,41.80882899,-91.86830719,2014,5/23/2014
46,IA-10024-B-2014,IA,41.80882899,-91.86830719,2014,5/23/2014
47,IA-10024-C-2014,IA,42.45457658,-95.37294247,2014,4/21/2014
48,IA-10024-D-2014,IA,42.45457658,-95.37294247,2014,4/21/2014
49,IA-10025-A-2014,IA,43.30265964,-92.49043122,2014,5/26/2014
50,IA-10025-B-2014,IA,43.30265964,-92.49043122,2014,5/26/2014
51,IA-10025-C-2014,IA,43.30265964,-92.49043122,2014,5/26/2014
52,IA-10026-A-2014,IA,41.8254822,-91.47345434,2014,5/11/2014
53,IA-10026-B-2014,IA,41.8254822,-91.47345434,2014,5/11/2014
54,IA-10026-C-2014,IA,41.8254822,-91.47345434,2014,5/11/2014
55,IA-10027-A-2014,IA,42.27674596,-94.11426116,2014,5/9/2014
56,IA-10027-B-2014,IA,42.27674596,-94.11426116,2014,5/9/2014
57,IA-10028-A-2014,IA,42.27674596,-94.11426116,2014,5/9/2014
58,IA-10028-B-2014,IA,42.27674596,-94.11426116,2014,5/9/2014
59,IA-10029-A-2014,IA,42.80769952,-93.39544971,2014,5/23/2014
60,IA-10029-B-2014,IA,42.80769952,-93.39544971,2014,5/23/2014
61,IA-10030-A-2014,IA,41.36092668,-92.02022253,2014,5/20/2014
62,IA-10030-B-2014,IA,41.36092668,-92.02022253,2014,5/20/2014
63,IA-10031-A-2014,IA,42.45457658,-95.37294247,2014,4/21/2014
64,IA-10031-B-2014,IA,42.45457658,-95.37294247,2014,4/21/2014
65,IA-10032-A-2014,IA,41.27650755,-91.77036069,2014,5/4/2014
66,IA-10032-B-2014,IA,41.27650755,-91.77036069,2014,5/4/2014
