XCoord,YCoord,OBJECTID,Join_Count,TARGET_FID,order_,id,state,latitude,longitude,PD_year,PD_month,PD_day,PD_yday,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape_Leng,P_Date
-93.35264555,41.85065709,1,1,1,1,IA-10005-A-2014,IA,41.850657,-93.352646,2014,jun,1,152,19,153,00465265,0500000US19153,19153,Polk,06,1482025649.000000,50041575.000000,1.801068,15-Apr
-93.35264555,41.85065709,2,1,2,2,IA-10005-B-2014,IA,41.850657,-93.352646,2014,jun,1,152,19,153,00465265,0500000US19153,19153,Polk,06,1482025649.000000,50041575.000000,1.801068,15-Apr
-92.87532552,43.27232515,3,1,3,3,IA-10006-A-2014,IA,43.272325,-92.875326,2014,may,23,143,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.87532552,43.27232515,4,1,4,4,IA-10006-B-2014,IA,43.272325,-92.875326,2014,may,23,143,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-93.37153112,41.79552322,5,1,5,5,IA-10007-A-2014,IA,41.795523,-93.371531,2014,may,22,142,19,153,00465265,0500000US19153,19153,Polk,06,1482025649.000000,50041575.000000,1.801068,15-Apr
-93.37153112,41.79552322,6,1,6,6,IA-10007-B-2014,IA,41.795523,-93.371531,2014,may,22,142,19,153,00465265,0500000US19153,19153,Polk,06,1482025649.000000,50041575.000000,1.801068,15-Apr
-93.32492224,41.88743741,7,1,7,7,IA-10008-A-2014,IA,41.887437,-93.324922,2014,may,30,150,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-93.32492224,41.88743741,8,1,8,8,IA-10008-B-2014,IA,41.887437,-93.324922,2014,may,30,150,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-94.14364834,42.91912016,9,1,9,9,IA-10009-A-2014,IA,42.919120,-94.143648,2014,may,18,138,19,109,00465243,0500000US19109,19109,Kossuth,06,2519361794.000000,4125592.000000,2.128199,15-Apr
-94.14364834,42.91912016,10,1,10,10,IA-10009-B-2014,IA,42.919120,-94.143648,2014,may,18,138,19,109,00465243,0500000US19109,19109,Kossuth,06,2519361794.000000,4125592.000000,2.128199,15-Apr
-93.82446074,42.66826147,11,1,11,11,IA-10010-A-2014,IA,42.668261,-93.824461,2014,may,23,143,19,197,00465287,0500000US19197,19197,Wright,06,1503269109.000000,4703964.000000,1.645231,15-Apr
-93.82446074,42.66826147,12,1,12,12,IA-10010-B-2014,IA,42.668261,-93.824461,2014,may,23,143,19,197,00465287,0500000US19197,19197,Wright,06,1503269109.000000,4703964.000000,1.645231,15-Apr
-93.36258174,41.91169026,13,1,13,13,IA-10011-A-2014,IA,41.911690,-93.362582,2014,may,30,150,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-93.36258174,41.91169026,14,1,14,14,IA-10011-B-2014,IA,41.911690,-93.362582,2014,may,30,150,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-93.36012694,41.91536922,15,1,15,15,IA-10012-A-2014,IA,41.915369,-93.360127,2014,may,30,150,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-93.36012694,41.91536922,16,1,16,16,IA-10012-B-2014,IA,41.915369,-93.360127,2014,may,30,150,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-93.84506189,42.91430570,17,1,17,17,IA-10013-A-2014,IA,42.914306,-93.845062,2014,may,23,143,19,081,00465229,0500000US19081,19081,Hancock,06,1478895049.000000,5265568.000000,1.640008,15-Apr
-93.84506189,42.91430570,18,1,18,18,IA-10013-B-2014,IA,42.914306,-93.845062,2014,may,23,143,19,081,00465229,0500000US19081,19081,Hancock,06,1478895049.000000,5265568.000000,1.640008,15-Apr
-92.41126673,42.65255288,19,1,19,19,IA-10014-A-2014,IA,42.652553,-92.411267,2014,may,21,141,19,017,00465198,0500000US19017,19017,Bremer,06,1127885577.000000,10166467.000000,1.475335,15-Apr
-92.41126673,42.65255288,20,1,20,20,IA-10014-B-2014,IA,42.652553,-92.411267,2014,may,21,141,19,017,00465198,0500000US19017,19017,Bremer,06,1127885577.000000,10166467.000000,1.475335,15-Apr
-92.41126673,42.65255288,21,1,21,21,IA-10014-C-2014,IA,42.652553,-92.411267,2014,may,21,141,19,017,00465198,0500000US19017,19017,Bremer,06,1127885577.000000,10166467.000000,1.475335,15-Apr
-93.68316211,42.11736638,22,1,22,22,IA-10015-A-2014,IA,42.117366,-93.683162,2014,may,15,135,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-93.68316211,42.11736638,23,1,23,23,IA-10015-B-2014,IA,42.117366,-93.683162,2014,may,15,135,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-92.88963764,43.26550190,24,1,24,24,IA-10016-A-2014,IA,43.265502,-92.889638,2014,may,24,144,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.88963764,43.26550190,25,1,25,25,IA-10016-B-2014,IA,43.265502,-92.889638,2014,may,24,144,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.88963764,43.26550190,26,1,26,26,IA-10016-C-2014,IA,43.265502,-92.889638,2014,may,24,144,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.89468307,43.26592242,27,1,27,27,IA-10016-D-2014,IA,43.265922,-92.894683,2014,may,25,145,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.89468307,43.26592242,28,1,28,28,IA-10016-E-2014,IA,43.265922,-92.894683,2014,may,25,145,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.18324565,41.30895667,29,1,29,29,IA-10018-A-2014,IA,41.308957,-92.183246,2014,may,19,139,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.18324565,41.30895667,30,1,30,30,IA-10018-B-2014,IA,41.308957,-92.183246,2014,may,19,139,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.18324565,41.30895667,31,1,31,31,IA-10018-C-2014,IA,41.308957,-92.183246,2014,may,19,139,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.03877991,41.36492883,32,1,32,32,IA-10019-A-2014,IA,41.364929,-92.038780,2014,may,18,138,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.03877991,41.36492883,33,1,33,33,IA-10019-B-2014,IA,41.364929,-92.038780,2014,may,18,138,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.03877991,41.36492883,34,1,34,34,IA-10019-C-2014,IA,41.364929,-92.038780,2014,may,18,138,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-94.66193697,43.10430723,35,1,35,35,IA-10020-A-2014,IA,43.104307,-94.661937,2014,may,19,139,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391649.000000,14437623.000000,1.633862,15-Apr
-94.66193697,43.10430723,36,1,36,36,IA-10020-B-2014,IA,43.104307,-94.661937,2014,may,19,139,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391649.000000,14437623.000000,1.633862,15-Apr
-94.66193697,43.10430723,37,1,37,37,IA-10020-C-2014,IA,43.104307,-94.661937,2014,may,19,139,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391649.000000,14437623.000000,1.633862,15-Apr
-94.66193697,43.10430723,38,1,38,38,IA-10021-A-2014,IA,43.104307,-94.661937,2014,may,22,142,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391649.000000,14437623.000000,1.633862,15-Apr
-94.66193697,43.10430723,39,1,39,39,IA-10021-B-2014,IA,43.104307,-94.661937,2014,may,22,142,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391649.000000,14437623.000000,1.633862,15-Apr
-91.86830719,41.80882899,40,1,40,40,IA-10022-A-2014,IA,41.808829,-91.868307,2014,may,23,143,19,095,00465236,0500000US19095,19095,Iowa,06,1518911693.000000,2686847.000000,1.646410,15-Apr
-91.86830719,41.80882899,41,1,41,41,IA-10022-B-2014,IA,41.808829,-91.868307,2014,may,23,143,19,095,00465236,0500000US19095,19095,Iowa,06,1518911693.000000,2686847.000000,1.646410,15-Apr
-91.86830719,41.80882899,42,1,42,42,IA-10022-C-2014,IA,41.808829,-91.868307,2014,may,23,143,19,095,00465236,0500000US19095,19095,Iowa,06,1518911693.000000,2686847.000000,1.646410,15-Apr
-91.86830719,41.80882899,43,1,43,43,IA-10023-A-2014,IA,41.808829,-91.868307,2014,may,23,143,19,095,00465236,0500000US19095,19095,Iowa,06,1518911693.000000,2686847.000000,1.646410,15-Apr
-91.86830719,41.80882899,44,1,44,44,IA-10023-B-2014,IA,41.808829,-91.868307,2014,may,23,143,19,095,00465236,0500000US19095,19095,Iowa,06,1518911693.000000,2686847.000000,1.646410,15-Apr
-91.86830719,41.80882899,45,1,45,45,IA-10024-A-2014,IA,41.808829,-91.868307,2014,may,23,143,19,095,00465236,0500000US19095,19095,Iowa,06,1518911693.000000,2686847.000000,1.646410,15-Apr
-91.86830719,41.80882899,46,1,46,46,IA-10024-B-2014,IA,41.808829,-91.868307,2014,may,23,143,19,095,00465236,0500000US19095,19095,Iowa,06,1518911693.000000,2686847.000000,1.646410,15-Apr
-95.37294247,42.45457658,47,1,47,47,IA-10024-C-2014,IA,42.454577,-95.372942,2014,apr,21,111,19,093,00465235,0500000US19093,19093,Ida,06,1117599829.000000,1406462.000000,1.539334,15-Apr
-95.37294247,42.45457658,48,1,48,48,IA-10024-D-2014,IA,42.454577,-95.372942,2014,apr,21,111,19,093,00465235,0500000US19093,19093,Ida,06,1117599829.000000,1406462.000000,1.539334,15-Apr
-92.49043122,43.30265964,49,1,49,49,IA-10025-A-2014,IA,43.302660,-92.490431,2014,may,26,146,19,089,00465233,0500000US19089,19089,Howard,06,1225702839.000000,931478.000000,1.522108,15-Apr
-92.49043122,43.30265964,50,1,50,50,IA-10025-B-2014,IA,43.302660,-92.490431,2014,may,26,146,19,089,00465233,0500000US19089,19089,Howard,06,1225702839.000000,931478.000000,1.522108,15-Apr
-92.49043122,43.30265964,51,1,51,51,IA-10025-C-2014,IA,43.302660,-92.490431,2014,may,26,146,19,089,00465233,0500000US19089,19089,Howard,06,1225702839.000000,931478.000000,1.522108,15-Apr
-91.47345434,41.82548220,52,1,52,52,IA-10026-A-2014,IA,41.825482,-91.473454,2014,may,11,131,19,103,00465240,0500000US19103,19103,Johnson,06,1587640020.000000,26086669.000000,1.845013,15-Apr
-91.47345434,41.82548220,53,1,53,53,IA-10026-B-2014,IA,41.825482,-91.473454,2014,may,11,131,19,103,00465240,0500000US19103,19103,Johnson,06,1587640020.000000,26086669.000000,1.845013,15-Apr
-91.47345434,41.82548220,54,1,54,54,IA-10026-C-2014,IA,41.825482,-91.473454,2014,may,11,131,19,103,00465240,0500000US19103,19103,Johnson,06,1587640020.000000,26086669.000000,1.845013,15-Apr
-94.11426116,42.27674596,55,1,55,55,IA-10027-A-2014,IA,42.276746,-94.114261,2014,may,9,129,19,187,00465282,0500000US19187,19187,Webster,06,1853677021.000000,7190529.000000,1.893440,15-Apr
-94.11426116,42.27674596,56,1,56,56,IA-10027-B-2014,IA,42.276746,-94.114261,2014,may,9,129,19,187,00465282,0500000US19187,19187,Webster,06,1853677021.000000,7190529.000000,1.893440,15-Apr
-94.11426116,42.27674596,57,1,57,57,IA-10028-A-2014,IA,42.276746,-94.114261,2014,may,9,129,19,187,00465282,0500000US19187,19187,Webster,06,1853677021.000000,7190529.000000,1.893440,15-Apr
-94.11426116,42.27674596,58,1,58,58,IA-10028-B-2014,IA,42.276746,-94.114261,2014,may,9,129,19,187,00465282,0500000US19187,19187,Webster,06,1853677021.000000,7190529.000000,1.893440,15-Apr
-93.39544971,42.80769952,59,1,59,59,IA-10029-A-2014,IA,42.807700,-93.395450,2014,may,23,143,19,069,00465223,0500000US19069,19069,Franklin,06,1507301086.000000,1428932.000000,1.647535,15-Apr
-93.39544971,42.80769952,60,1,60,60,IA-10029-B-2014,IA,42.807700,-93.395450,2014,may,23,143,19,069,00465223,0500000US19069,19069,Franklin,06,1507301086.000000,1428932.000000,1.647535,15-Apr
-92.02022253,41.36092668,61,1,61,61,IA-10030-A-2014,IA,41.360927,-92.020223,2014,may,20,140,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.02022253,41.36092668,62,1,62,62,IA-10030-B-2014,IA,41.360927,-92.020223,2014,may,20,140,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-95.37294247,42.45457658,63,1,63,63,IA-10031-A-2014,IA,42.454577,-95.372942,2014,apr,21,111,19,093,00465235,0500000US19093,19093,Ida,06,1117599829.000000,1406462.000000,1.539334,15-Apr
-95.37294247,42.45457658,64,1,64,64,IA-10031-B-2014,IA,42.454577,-95.372942,2014,apr,21,111,19,093,00465235,0500000US19093,19093,Ida,06,1117599829.000000,1406462.000000,1.539334,15-Apr
-91.77036069,41.27650755,65,1,65,65,IA-10032-A-2014,IA,41.276508,-91.770361,2014,may,4,124,19,183,00465280,0500000US19183,19183,Washington,06,1473215987.000000,5381583.000000,1.656068,10-Apr
-91.77036069,41.27650755,66,1,66,66,IA-10032-B-2014,IA,41.276508,-91.770361,2014,may,4,124,19,183,00465280,0500000US19183,19183,Washington,06,1473215987.000000,5381583.000000,1.656068,10-Apr
-93.30623443,42.94029819,67,1,67,67,IA-10033-A-2014,IA,42.940298,-93.306234,2014,may,17,137,19,033,00465206,0500000US19033,19033,Cerro Gordo,06,1471890326.000000,17659667.000000,1.642047,15-Apr
-93.30623443,42.94029819,68,1,68,68,IA-10033-B-2014,IA,42.940298,-93.306234,2014,may,17,137,19,033,00465206,0500000US19033,19033,Cerro Gordo,06,1471890326.000000,17659667.000000,1.642047,15-Apr
-92.49033842,43.13111599,69,1,69,69,IA-10034-A-2014,IA,43.131116,-92.490338,2014,may,26,146,19,037,00465208,0500000US19037,19037,Chickasaw,06,1306221492.000000,3426577.000000,1.557794,15-Apr
-92.49033842,43.13111599,70,1,70,70,IA-10034-B-2014,IA,43.131116,-92.490338,2014,may,26,146,19,037,00465208,0500000US19037,19037,Chickasaw,06,1306221492.000000,3426577.000000,1.557794,15-Apr
-92.49033842,43.13111599,71,1,71,71,IA-10035-A-2014,IA,43.131116,-92.490338,2014,may,26,146,19,037,00465208,0500000US19037,19037,Chickasaw,06,1306221492.000000,3426577.000000,1.557794,15-Apr
-92.49033842,43.13111599,72,1,72,72,IA-10035-B-2014,IA,43.131116,-92.490338,2014,may,26,146,19,037,00465208,0500000US19037,19037,Chickasaw,06,1306221492.000000,3426577.000000,1.557794,15-Apr
-93.98705762,42.64100152,73,1,73,73,IA-10036-A-2014,IA,42.641002,-93.987058,2014,may,21,141,19,187,00465282,0500000US19187,19187,Webster,06,1853677021.000000,7190529.000000,1.893440,15-Apr
-93.98705762,42.64100152,74,1,74,74,IA-10036-B-2014,IA,42.641002,-93.987058,2014,may,21,141,19,187,00465282,0500000US19187,19187,Webster,06,1853677021.000000,7190529.000000,1.893440,15-Apr
-93.98705762,42.64100152,75,1,75,75,IA-10036-C-2014,IA,42.641002,-93.987058,2014,may,21,141,19,187,00465282,0500000US19187,19187,Webster,06,1853677021.000000,7190529.000000,1.893440,15-Apr
-94.11009333,42.03933425,76,1,76,76,IA-10037-A-2014,IA,42.039334,-94.110093,2014,may,17,137,19,015,00465197,0500000US19015,19015,Boone,06,1480329003.000000,5358730.000000,1.625075,15-Apr
-94.11009333,42.03933425,77,1,77,77,IA-10037-B-2014,IA,42.039334,-94.110093,2014,may,17,137,19,015,00465197,0500000US19015,19015,Boone,06,1480329003.000000,5358730.000000,1.625075,15-Apr
-96.02474393,42.52386751,78,1,78,78,IA-10038-A-2014,IA,42.523868,-96.024744,2014,may,17,137,19,193,00465285,0500000US19193,19193,Woodbury,06,2260790985.000000,12793704.000000,2.424571,15-Apr
-96.02474393,42.52386751,79,1,79,79,IA-10038-B-2014,IA,42.523868,-96.024744,2014,may,17,137,19,193,00465285,0500000US19193,19193,Woodbury,06,2260790985.000000,12793704.000000,2.424571,15-Apr
-93.68132160,42.10512779,80,1,80,80,IA-10039-A-2014,IA,42.105128,-93.681322,2014,may,24,144,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-93.68132160,42.10512779,81,1,81,81,IA-10039-B-2014,IA,42.105128,-93.681322,2014,may,24,144,19,169,00465273,0500000US19169,19169,Story,06,1483295645.000000,2449263.000000,1.625037,15-Apr
-94.53601336,41.33510388,82,1,82,82,IA-10040-A-2014,IA,41.335104,-94.536013,2014,apr,22,112,19,001,00465190,0500000US19001,19001,Adair,06,1474404193.000000,2597996.000000,1.610687,10-Apr
-94.53601336,41.33510388,83,1,83,83,IA-10040-B-2014,IA,41.335104,-94.536013,2014,apr,22,112,19,001,00465190,0500000US19001,19001,Adair,06,1474404193.000000,2597996.000000,1.610687,10-Apr
-95.29083989,41.53841441,84,1,84,84,IA-10041-A-2014,IA,41.538414,-95.290840,2014,may,17,137,19,165,00465271,0500000US19165,19165,Shelby,06,1530110546.000000,1486125.000000,1.749958,15-Apr
-95.29083989,41.53841441,85,1,85,85,IA-10041-B-2014,IA,41.538414,-95.290840,2014,may,17,137,19,165,00465271,0500000US19165,19165,Shelby,06,1530110546.000000,1486125.000000,1.749958,15-Apr
-91.19607516,42.28660698,86,1,86,86,IA-10042-A-2014,IA,42.286607,-91.196075,2014,may,27,147,19,105,00465241,0500000US19105,19105,Jones,06,1490857912.000000,3768648.000000,1.630862,15-Apr
-91.19607516,42.28660698,87,1,87,87,IA-10042-B-2014,IA,42.286607,-91.196075,2014,may,27,147,19,105,00465241,0500000US19105,19105,Jones,06,1490857912.000000,3768648.000000,1.630862,15-Apr
-91.21549285,42.28180060,88,1,88,88,IA-10043-A-2014,IA,42.281801,-91.215493,2014,may,27,147,19,105,00465241,0500000US19105,19105,Jones,06,1490857912.000000,3768648.000000,1.630862,15-Apr
-91.21549285,42.28180060,89,1,89,89,IA-10043-B-2014,IA,42.281801,-91.215493,2014,may,27,147,19,105,00465241,0500000US19105,19105,Jones,06,1490857912.000000,3768648.000000,1.630862,15-Apr
-91.80713344,41.31679382,90,1,90,90,IA-10044-A-2014,IA,41.316794,-91.807133,2014,may,21,141,19,183,00465280,0500000US19183,19183,Washington,06,1473215987.000000,5381583.000000,1.656068,10-Apr
-91.80713344,41.31679382,91,1,91,91,IA-10044-B-2014,IA,41.316794,-91.807133,2014,may,21,141,19,183,00465280,0500000US19183,19183,Washington,06,1473215987.000000,5381583.000000,1.656068,10-Apr
-91.84128784,42.47826628,92,1,92,92,IA-10045-A-2014,IA,42.478266,-91.841288,2014,may,10,130,19,019,00465199,0500000US19019,19019,Buchanan,06,1479085972.000000,5223780.000000,1.663284,15-Apr
-91.84128784,42.47826628,93,1,93,93,IA-10045-B-2014,IA,42.478266,-91.841288,2014,may,10,130,19,019,00465199,0500000US19019,19019,Buchanan,06,1479085972.000000,5223780.000000,1.663284,15-Apr
-92.88693747,43.28799692,94,1,94,94,IA-10046-A-2014,IA,43.287997,-92.886937,2014,may,22,142,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.88693747,43.28799692,95,1,95,95,IA-10046-B-2014,IA,43.287997,-92.886937,2014,may,22,142,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.88693747,43.28799692,96,1,96,96,IA-10047-A-2014,IA,43.287997,-92.886937,2014,may,22,142,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-92.88693747,43.28799692,97,1,97,97,IA-10047-B-2014,IA,43.287997,-92.886937,2014,may,22,142,19,131,00465254,0500000US19131,19131,Mitchell,06,1215049039.000000,1118415.000000,1.515192,15-Apr
-95.18055959,42.11361387,98,1,98,98,IA-10048-A-2014,IA,42.113614,-95.180560,2014,may,16,136,19,047,00465212,0500000US19047,19047,Crawford,06,1849742896.000000,2194271.000000,1.855295,15-Apr
-95.18055959,42.11361387,99,1,99,99,IA-10048-B-2014,IA,42.113614,-95.180560,2014,may,16,136,19,047,00465212,0500000US19047,19047,Crawford,06,1849742896.000000,2194271.000000,1.855295,15-Apr
-91.99666817,41.33355267,100,1,100,100,IA-10049-A-2014,IA,41.333553,-91.996668,2014,may,21,141,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-91.99666817,41.33355267,101,1,101,101,IA-10049-B-2014,IA,41.333553,-91.996668,2014,may,21,141,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.01770438,41.44292871,102,1,102,102,IA-10050-A-2014,IA,41.442929,-92.017704,2014,may,21,141,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-92.01770438,41.44292871,103,1,103,103,IA-10050-B-2014,IA,41.442929,-92.017704,2014,may,21,141,19,107,00465242,0500000US19107,19107,Keokuk,06,1500056540.000000,1944346.000000,1.625476,10-Apr
-91.57304285,43.04978647,104,1,104,104,IA-10051-A-2014,IA,43.049786,-91.573043,2014,may,23,143,19,043,00465210,0500000US19043,19043,Clayton,06,2016295993.000000,36695615.000000,2.197819,15-Apr
-91.57304285,43.04978647,105,1,105,105,IA-10051-B-2014,IA,43.049786,-91.573043,2014,may,23,143,19,043,00465210,0500000US19043,19043,Clayton,06,2016295993.000000,36695615.000000,2.197819,15-Apr
-94.15424662,42.03031923,106,1,106,106,IA-10052-A-2014,IA,42.030319,-94.154247,2014,may,7,127,19,015,00465197,0500000US19015,19015,Boone,06,1480329003.000000,5358730.000000,1.625075,15-Apr
-94.15424662,42.03031923,107,1,107,107,IA-10052-B-2014,IA,42.030319,-94.154247,2014,may,7,127,19,015,00465197,0500000US19015,19015,Boone,06,1480329003.000000,5358730.000000,1.625075,15-Apr
